author.id,u_min,u_max,u_mean,u_std,Cat,is_retweet,Label,retweet
u1675,2,312,71.69,94.64,Twitter_User,,u1675,
u1676,28,28,28,,Twitter_User,,u1676,
u1677,5,728,310.67,374.21,Twitter_User,,u1677,
u1678,0,2,0.67,1.15,Twitter_User,,u1678,
u1679,0,8,4,5.66,Twitter_User,,u1679,
u168,2095,2095,2095,,Twitter_User,,u168,
u1680,2,2,2,,Twitter_User,,u1680,
u1681,3429,3429,3429,,Twitter_User,,u1681,
u1682,0,0,0,,Twitter_User,,u1682,
u1683,0,219,68,103.72,Twitter_User,,u1683,
u1684,0,0,0,,Twitter_User,,u1684,
u1685,0,0,0,,Twitter_User,,u1685,
u1686,2888,2888,2888,,Twitter_User,,u1686,
u1687,26,26,26,,Twitter_User,,u1687,
u1688,3,9,6.67,3.21,Twitter_User,,u1688,
u1689,2995,2995,2995,,Twitter_User,,u1689,
u169,0,0,0,,Twitter_User,,u169,
u1690,11,11,11,,Twitter_User,,u1690,
u1691,0,0,0,,Twitter_User,,u1691,
u1692,0,0,0,,Twitter_User,,u1692,
u1693,0,0,0,,Twitter_User,,u1693,
u1694,14,14,14,,Twitter_User,,u1694,
u1695,0,0,0,,Twitter_User,,u1695,
u1696,1,1,1,,Twitter_User,,u1696,
u1697,875,875,875,,Twitter_User,,u1697,
u1698,0,19,3.5,5.66,Twitter_User,,u1698,
u1699,0,0,0,0,Twitter_User,,u1699,
u17,0,1,0.4,0.55,Twitter_User,,u17,
u170,0,0,0,,Twitter_User,,u170,
u1700,0,0,0,0,Twitter_User,,u1700,
u1701,0,1,0.33,0.58,Twitter_User,,u1701,
u1702,0,0,0,,Twitter_User,,u1702,
u1703,2095,2995,2545,636.4,Twitter_User,,u1703,
u1704,5,5,5,,Twitter_User,,u1704,
u1705,0,0,0,0,Twitter_User,,u1705,
u1706,7,7,7,,Twitter_User,,u1706,
u1707,0,0,0,,Twitter_User,,u1707,
u1708,0,1,0.5,0.71,Twitter_User,,u1708,
u1709,0,0,0,,Twitter_User,,u1709,
u171,0,0,0,,Twitter_User,,u171,
u1710,186,186,186,,Twitter_User,,u1710,
u1711,1,1,1,,Twitter_User,,u1711,
u1712,17,17,17,,Twitter_User,,u1712,
u1713,1,8,4.5,4.95,Twitter_User,,u1713,
u1714,2,2,2,,Twitter_User,,u1714,
u1715,3263,3263,3263,,Twitter_User,,u1715,
u1716,0,0,0,,Twitter_User,,u1716,
u1717,105,105,105,,Twitter_User,,u1717,
u1718,1,1,1,,Twitter_User,,u1718,
u1719,0,0,0,0,Twitter_User,,u1719,
u172,3,3,3,,Twitter_User,,u172,
u1720,875,875,875,,Twitter_User,,u1720,
u1721,27,27,27,,Twitter_User,,u1721,
u1722,6,6,6,,Twitter_User,,u1722,
u1723,0,5,2,2.45,Twitter_User,,u1723,
u1724,0,199,32.38,68.67,Twitter_User,,u1724,
u1725,1,1,1,,Twitter_User,,u1725,
u1726,0,0,0,,Twitter_User,,u1726,
u1727,0,0,0,,Twitter_User,,u1727,
u1728,6,6,6,,Twitter_User,,u1728,
u1729,0,0,0,,Twitter_User,,u1729,
u173,0,0,0,,Twitter_User,,u173,
u1730,0,0,0,,Twitter_User,,u1730,
u1731,90,90,90,,Twitter_User,,u1731,
u1732,105,105,105,,Twitter_User,,u1732,
u1733,0,3263,692.17,1306.78,Twitter_User,,u1733,
u1734,146,146,146,,Twitter_User,,u1734,
u1735,0,0,0,,Twitter_User,,u1735,
u1736,0,0,0,,Twitter_User,,u1736,
u1737,2995,2995,2995,,Twitter_User,,u1737,
u1738,0,0,0,,Twitter_User,,u1738,
u1739,0,0,0,,Twitter_User,,u1739,
u174,0,0,0,,Twitter_User,,u174,
u1740,0,4,0.4,1.26,Twitter_User,,u1740,
u1741,0,0,0,,Twitter_User,,u1741,
u1742,1,1,1,,Twitter_User,,u1742,
u1743,0,11,5.5,7.78,Twitter_User,,u1743,
u1744,14,14,14,,Twitter_User,,u1744,
